id,ts,user_id,user_age,user_gender,user_education,poem_title,image_path,image_type,q1_1_right_answer,phase1_response_ms,answers_json,phase2_response_ms,total_response_ms
7907,2026-02-23T21:25:50.836896,BZ4,30,男,博士,行宫,/home/ubuntu/workspace/image_voting_system/all_images/行宫_seedream.jpg,seedream,A,13112,"{""q1-2"": ""a"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""e"", ""q2-6"": ""a"", ""q2-7"": ""d"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",24348,37460
7908,2026-02-23T21:27:27.784962,BZ4,30,男,博士,春思·燕草如碧丝,/home/ubuntu/workspace/image_voting_system/all_images/春思·燕草如碧丝_gpt.jpg,gpt,B,67346,"{""q1-2"": ""a"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-10"": ""a"", ""q2-9"": ""a""}",29602,96948
7909,2026-02-23T21:28:30.584884,BZ4,30,男,博士,别房太尉墓,/home/ubuntu/workspace/image_voting_system/all_images/别房太尉墓_gpt.jpg,gpt,A,22669,"{""q1-2"": ""a"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",40131,62800
7910,2026-02-23T21:29:19.413031,BZ4,30,男,博士,金陵酒肆留别,/home/ubuntu/workspace/image_voting_system/all_images/金陵酒肆留别_gpt.jpg,gpt,B,23189,"{""q1-2"": ""a"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""d"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",24111,47300
7911,2026-02-23T21:30:31.763453,BZ4,30,男,博士,长相思·其二,/home/ubuntu/workspace/image_voting_system/all_images/长相思·其二_nano.jpg,nano,A,50274,"{""q1-2"": ""a"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-8"": ""a"", ""q2-7"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",22077,72351
7912,2026-02-23T21:31:29.461949,BZ4,30,男,博士,与高适薛据同登慈恩寺浮图,/home/ubuntu/workspace/image_voting_system/all_images/与高适薛据同登慈恩寺浮图_nano.jpg,nano,D,21960,"{""q1-2"": ""a"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""b"", ""q2-4"": ""a"", ""q2-5"": ""e"", ""q2-6"": ""c"", ""q2-7"": ""d"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",35738,57698
7913,2026-02-23T21:32:19.175198,BZ4,30,男,博士,江南曲,/home/ubuntu/workspace/image_voting_system/all_images/江南曲_mj.jpg,mj,C,21089,"{""q1-2"": ""a"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""b"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""c"", ""q2-7"": ""d"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""c""}",28624,49713
7914,2026-02-23T21:33:20.838444,BZ4,30,男,博士,登幽州台歌,/home/ubuntu/workspace/image_voting_system/all_images/登幽州台歌_gpt.jpg,gpt,D,26119,"{""q1-2"": ""b"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""d"", ""q2-7"": ""d"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",35544,61663
7915,2026-02-24T00:56:05.066237,whu,31,男,硕士,夜雨寄北,/home/ubuntu/workspace/image_voting_system/all_images/夜雨寄北_nano.jpg,nano,C,33191,"{""q1-2"": ""a"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",26178,59369
7916,2026-02-24T00:58:25.766518,whu,31,男,硕士,哀江头,/home/ubuntu/workspace/image_voting_system/all_images/哀江头_mj.jpg,mj,A,67861,"{""q1-2"": ""d"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""d"", ""q2-5"": ""c"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""d"", ""q2-10"": ""e"", ""q2-9"": ""a""}",72839,140700
7917,2026-02-24T01:01:05.429933,whu,31,男,硕士,白雪歌送武判官归京,/home/ubuntu/workspace/image_voting_system/all_images/白雪歌送武判官归京_seedream.jpg,seedream,B,104881,"{""q1-2"": ""a"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""b"", ""q2-4"": ""b"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""c""}",54783,159664
7918,2026-02-24T01:02:29.666198,whu,31,男,硕士,夜上受降城闻笛,/home/ubuntu/workspace/image_voting_system/all_images/夜上受降城闻笛_mj.jpg,mj,D,14138,"{""q1-2"": ""d"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""d"", ""q2-5"": ""c"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""d"", ""q2-9"": ""c"", ""q2-10"": ""e""}",70098,84236
7919,2026-02-24T01:03:47.138144,whu,31,男,硕士,送崔九,/home/ubuntu/workspace/image_voting_system/all_images/送崔九_nano.jpg,nano,D,51632,"{""q1-2"": ""c"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""b"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",25840,77472
7920,2026-02-24T01:30:41.122194,BZ5,30,男,博士,咏怀古迹五首·其四,/home/ubuntu/workspace/image_voting_system/all_images/咏怀古迹五首·其四_nano.jpg,nano,A,28742,"{""q1-2"": ""a"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""c"", ""q2-7"": ""d"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",29688,58430
