id,ts,user_id,user_age,user_gender,user_education,poem_title,image_path,image_type,q1_1_right_answer,phase1_response_ms,answers_json,phase2_response_ms,total_response_ms
31,2026-03-01T02:31:57.168965,whu,31,男,硕士,春晓,/home/ubuntu/workspace/image_voting_system/all_images/春晓_seedream.jpg,seedream,B,8658,"{""q1-2"": ""a"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""b"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",18329,26987
32,2026-03-01T03:27:40.528492,LuoLuo,30,男,硕士,同题仙游观,/home/ubuntu/workspace/image_voting_system/all_images/同题仙游观_nano.jpg,nano,C,24885,"{""q1-2"": ""a"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""b"", ""q2-4"": ""b"", ""q2-5"": ""a"", ""q2-6"": ""c"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""c""}",30975,55860
33,2026-03-01T03:28:25.868636,LuoLuo,30,男,硕士,后宫词,/home/ubuntu/workspace/image_voting_system/all_images/后宫词_seedream.jpg,seedream,A,25904,"{""q1-2"": ""a"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",19436,45340
34,2026-03-01T03:29:53.319097,LuoLuo,30,男,硕士,行路难·其三,/home/ubuntu/workspace/image_voting_system/all_images/行路难·其三_mj.jpg,mj,A,42547,"{""q1-2"": ""d"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""c"", ""q2-3"": ""b"", ""q2-4"": ""c"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""d"", ""q2-9"": ""b"", ""q2-10"": ""d""}",44903,87450
35,2026-03-01T03:31:10.568624,LuoLuo,30,男,硕士,落花,/home/ubuntu/workspace/image_voting_system/all_images/落花_mj.jpg,mj,B,33602,"{""q1-2"": ""b"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""b"", ""q2-4"": ""b"", ""q2-5"": ""b"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""c""}",43648,77250
36,2026-03-01T03:31:47.528331,LuoLuo,30,男,硕士,月夜·今夜鄜州月,/home/ubuntu/workspace/image_voting_system/all_images/月夜·今夜鄜州月_mj.jpg,mj,A,8040,"{""q1-2"": ""c"", ""q1-1"": ""A"", ""q2-1"": ""b"", ""q2-2"": ""c"", ""q2-3"": ""c"", ""q2-4"": ""b"", ""q2-5"": ""b"", ""q2-6"": ""e"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""d""}",28920,36960
37,2026-03-01T03:33:07.709032,LuoLuo,30,男,硕士,宫词·长乐宫连上苑春,/home/ubuntu/workspace/image_voting_system/all_images/宫词·长乐宫连上苑春_nano.jpg,nano,C,26260,"{""q1-2"": ""b"", ""q1-1"": ""A"", ""q2-1"": ""b"", ""q2-2"": ""c"", ""q2-3"": ""d"", ""q2-4"": ""c"", ""q2-5"": ""a"", ""q2-6"": ""c"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""e""}",53920,80180
38,2026-03-01T03:33:54.873977,LuoLuo,30,男,硕士,丽人行,/home/ubuntu/workspace/image_voting_system/all_images/丽人行_gpt.jpg,gpt,D,21555,"{""q1-2"": ""c"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""a"", ""q2-4"": ""b"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",25610,47165
39,2026-03-01T03:35:00.743565,LuoLuo,30,男,硕士,登高,/home/ubuntu/workspace/image_voting_system/all_images/登高_mj.jpg,mj,B,25274,"{""q1-2"": ""d"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""c"", ""q2-3"": ""b"", ""q2-4"": ""b"", ""q2-5"": ""d"", ""q2-6"": ""d"", ""q2-7"": ""d"", ""q2-8"": ""d"", ""q2-9"": ""b"", ""q2-10"": ""d""}",40596,65870
40,2026-03-01T03:36:10.023806,LuoLuo,30,男,硕士,赠阙下裴舍人,/home/ubuntu/workspace/image_voting_system/all_images/赠阙下裴舍人_nano.jpg,nano,B,16770,"{""q1-2"": ""c"", ""q1-1"": ""B"", ""q2-1"": ""b"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""b"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""c"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""d""}",52510,69280
41,2026-03-01T03:37:47.703242,LuoLuo,30,男,硕士,长沙过贾谊宅,/home/ubuntu/workspace/image_voting_system/all_images/长沙过贾谊宅_mj.jpg,mj,C,54781,"{""q1-2"": ""d"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""d"", ""q2-5"": ""c"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""e""}",42898,97679
42,2026-03-01T03:38:40.298542,LuoLuo,30,男,硕士,春思·莺啼燕语报新年,/home/ubuntu/workspace/image_voting_system/all_images/春思·莺啼燕语报新年_gpt.jpg,gpt,D,25106,"{""q1-2"": ""c"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""b"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""c""}",27490,52596
43,2026-03-01T03:39:22.464809,LuoLuo,30,男,硕士,宿府,/home/ubuntu/workspace/image_voting_system/all_images/宿府_mj.jpg,mj,D,19260,"{""q1-2"": ""a"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""c""}",22906,42166
44,2026-03-01T03:40:22.138524,LuoLuo,30,男,硕士,晨诣超师院读禅经,/home/ubuntu/workspace/image_voting_system/all_images/晨诣超师院读禅经_mj.jpg,mj,A,7680,"{""q1-2"": ""a"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""c"", ""q2-7"": ""a"", ""q2-8"": ""d"", ""q2-9"": ""a"", ""q2-10"": ""b""}",51993,59673
45,2026-03-01T03:41:09.548387,LuoLuo,30,男,硕士,青溪,/home/ubuntu/workspace/image_voting_system/all_images/青溪_mj.jpg,mj,D,11196,"{""q1-2"": ""c"", ""q1-1"": ""D"", ""q2-1"": ""b"", ""q2-2"": ""c"", ""q2-3"": ""c"", ""q2-4"": ""c"", ""q2-5"": ""e"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""b"", ""q2-9"": ""c"", ""q2-10"": ""e""}",36215,47411
46,2026-03-01T03:41:49.889197,LuoLuo,30,男,硕士,金陵图,/home/ubuntu/workspace/image_voting_system/all_images/金陵图_mj.jpg,mj,C,15505,"{""q1-2"": ""c"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""c"", ""q2-3"": ""c"", ""q2-4"": ""c"", ""q2-5"": ""b"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""c"", ""q2-10"": ""e""}",24835,40340
